                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.82296,                 1.1025,                 1.1877,                 0.7522,                 0.4754,                0.53328,                0.41341,                0.79869,                 1.4276,                 1.1759,             0.00097461,             0.00097461,             0.00097461
                     65,                0.83172,                 1.1816,                 1.1927,                0.68606,                0.51828,                0.52028,                0.40215,                0.79958,                 1.4502,                  1.212,             0.00097241,             0.00097241,             0.00097241
                     66,                0.79625,                 1.1261,                 1.1698,                 0.6337,                0.51428,                0.53162,                0.41717,                0.76514,                 1.6719,                 1.1463,             0.00097021,             0.00097021,             0.00097021
                     67,                0.80423,                 1.1277,                  1.177,                0.80051,                0.43959,                0.55683,                0.44414,                0.78265,                 1.5436,                  1.198,             0.00096801,             0.00096801,             0.00096801
                     68,                0.81287,                 1.1414,                 1.1834,                0.62296,                0.64333,                0.56243,                 0.4435,                0.73646,                 1.7334,                 1.1274,             0.00096581,             0.00096581,             0.00096581
                     69,                0.76517,                 1.0431,                  1.148,                0.72086,                0.45376,                0.54149,                 0.4323,                0.75346,                 1.4768,                 1.1464,             0.00096361,             0.00096361,             0.00096361
                     70,                0.78826,                 1.1174,                 1.1679,                 0.4842,                0.65555,                0.58521,                0.45938,                0.76017,                 1.6949,                 1.1567,             0.00096141,             0.00096141,             0.00096141
                     71,                0.78203,                 1.0995,                 1.1673,                0.63292,                0.56294,                0.57364,                0.44094,                0.76368,                 1.6673,                 1.1692,             0.00095922,             0.00095922,             0.00095922
                     72,                0.81651,                 1.0891,                 1.1855,                0.68126,                0.46931,                0.52745,                0.42063,                0.81487,                 1.8279,                 1.2224,             0.00095702,             0.00095702,             0.00095702
                     73,                0.80008,                 1.0578,                 1.1772,                0.68599,                0.57921,                0.59842,                0.47321,                0.76623,                 1.4182,                 1.1717,             0.00095482,             0.00095482,             0.00095482
                     74,                0.77755,                 1.0729,                 1.1791,                0.69202,                0.45517,                0.52395,                 0.4321,                0.71118,                 1.6551,                 1.0884,             0.00095262,             0.00095262,             0.00095262
                     75,                0.76563,                 1.0511,                 1.1612,                0.63432,                0.53021,                0.54107,                0.42785,                0.76252,                 1.5699,                 1.1564,             0.00095042,             0.00095042,             0.00095042
                     76,                0.76757,                 1.0506,                 1.1516,                0.63659,                0.52339,                0.54793,                0.43974,                0.70042,                 1.3379,                 1.0755,             0.00094822,             0.00094822,             0.00094822
                     77,                0.74041,                 1.0658,                 1.1581,                0.68985,                0.55781,                0.57801,                0.45319,                0.73258,                 1.2163,                 1.1062,             0.00094602,             0.00094602,             0.00094602
                     78,                0.74628,                 1.0652,                 1.1252,                0.68871,                0.49534,                0.55507,                0.42554,                0.78304,                 1.5657,                 1.2078,             0.00094382,             0.00094382,             0.00094382
                     79,                0.76737,                 1.0146,                 1.1583,                0.70959,                0.55835,                0.58694,                 0.4613,                0.73123,                 1.5813,                  1.131,             0.00094162,             0.00094162,             0.00094162
                     80,                0.78711,                 1.0244,                 1.1669,                0.69415,                 0.5321,                0.56845,                0.43743,                0.76442,                 1.6703,                 1.1781,             0.00093942,             0.00093942,             0.00093942
                     81,                0.73109,                 1.0012,                 1.1396,                0.49277,                0.62395,                0.60486,                0.48736,                0.69858,                 1.4813,                 1.1034,             0.00093722,             0.00093722,             0.00093722
                     82,                 0.7758,                 1.0756,                 1.1588,                0.75333,                0.44597,                 0.5123,                0.41322,                0.73909,                 1.2479,                 1.1779,             0.00093502,             0.00093502,             0.00093502
