                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
109,0.59881,0.54607,1.1012,0.7669,0.67017,0.73494,0.5871,0.78898,0.80279,1.2889,0.0078814,0.0078814,0.0078814,0.7152795243098806
110,0.60529,0.54736,1.1007,0.76325,0.65295,0.74166,0.59095,0.79116,0.82029,1.2785,0.0078616,0.0078616,0.0078616,0.7038046709504308
111,0.60313,0.5421,1.1029,0.75134,0.6901,0.74291,0.59277,0.77815,0.80607,1.2717,0.0078418,0.0078418,0.0078418,0.7194191003441004
112,0.58796,0.54788,1.0981,0.77042,0.66771,0.74601,0.59261,0.79899,0.80357,1.2907,0.007822,0.007822,0.007822,0.7153972703441274
113,0.58782,0.53428,1.0923,0.75707,0.67755,0.7477,0.59578,0.78273,0.80026,1.2786,0.0078022,0.0078022,0.0078022,0.7151061305432798
114,0.58999,0.5422,1.0936,0.76029,0.67576,0.75085,0.59638,0.79558,0.81474,1.2804,0.0077824,0.0077824,0.0077824,0.7155371615194458
115,0.59746,0.52951,1.0906,0.76832,0.69264,0.75209,0.59908,0.79338,0.824,1.274,0.0077626,0.0077626,0.0077626,0.7285198291534333
116,0.58475,0.52985,1.0787,0.74244,0.70086,0.75087,0.59966,0.77127,0.7943,1.2546,0.0077428,0.0077428,0.0077428,0.7210510613178134
117,0.58025,0.51447,1.0834,0.80083,0.65247,0.74409,0.59194,0.77846,0.80521,1.2812,0.007723,0.007723,0.007723,0.7190773413610404
118,0.57821,0.51189,1.0875,0.74838,0.69612,0.75407,0.59765,0.78803,0.79974,1.295,0.0077032,0.0077032,0.0077032,0.7213046529595015
119,0.57509,0.50705,1.0883,0.76335,0.68778,0.73392,0.58628,0.77691,0.80396,1.2843,0.0076834,0.0076834,0.0076834,0.7235972834963097
120,0.58155,0.52071,1.0936,0.74701,0.69959,0.75098,0.59777,0.78031,0.79153,1.2845,0.0076636,0.0076636,0.0076636,0.7225227787916493
121,0.58126,0.51288,1.0964,0.70925,0.72886,0.75254,0.60164,0.77561,0.79135,1.283,0.0076438,0.0076438,0.0076438,0.7189212994833497
122,0.56872,0.52155,1.0792,0.73515,0.71516,0.75313,0.60287,0.7769,0.78837,1.292,0.007624,0.007624,0.007624,0.7250172363149947
123,0.57686,0.50598,1.0824,0.72612,0.71973,0.7496,0.59773,0.77756,0.80802,1.2818,0.0076042,0.0076042,0.0076042,0.7229108795518208
124,0.57326,0.49889,1.0809,0.73028,0.71186,0.74591,0.59513,0.77209,0.78365,1.2829,0.0075844,0.0075844,0.0075844,0.7209523635708044
125,0.58256,0.51643,1.0834,0.74106,0.69325,0.72961,0.58195,0.78414,0.82281,1.2905,0.0075646,0.0075646,0.0075646,0.7163581722221836
