                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.81364,                 1.1192,                 1.1901,                0.66602,                 0.5685,                0.55545,                0.45359,                0.70527,                 1.2975,                  1.099,             0.00096801,             0.00096801,             0.00096801
                     68,                0.81729,                 1.1388,                 1.1966,                0.71745,                0.55963,                0.62663,                0.48497,                0.77609,                 1.5419,                 1.1809,             0.00096581,             0.00096581,             0.00096581
                     69,                0.77608,                 1.0746,                 1.1691,                0.69444,                0.50469,                0.56204,                0.45525,                0.70136,                 1.6421,                  1.123,             0.00096361,             0.00096361,             0.00096361
                     70,                0.80649,                 1.1503,                 1.1925,                 0.7362,                0.46325,                0.54921,                0.45353,                0.68055,                  1.728,                 1.0935,             0.00096141,             0.00096141,             0.00096141
                     71,                0.80427,                 1.0844,                 1.1919,                0.72163,                0.55284,                0.57426,                0.45275,                0.75781,                 1.3006,                 1.1749,             0.00095922,             0.00095922,             0.00095922
                     72,                0.77496,                 1.0648,                  1.166,                0.76578,                0.44307,                0.57755,                0.44983,                0.77186,                 1.4967,                 1.1961,             0.00095702,             0.00095702,             0.00095702
                     73,                 0.7814,                 1.0603,                 1.1745,                0.75366,                  0.482,                0.57653,                  0.469,                0.71377,                 1.5117,                 1.1103,             0.00095482,             0.00095482,             0.00095482
                     74,                0.76314,                 1.0429,                 1.1706,                0.64663,                0.48024,                0.51521,                0.41664,                0.75592,                 2.0412,                 1.1702,             0.00095262,             0.00095262,             0.00095262
                     75,                0.78171,                 1.0821,                  1.169,                0.69257,                 0.5249,                 0.5785,                0.45744,                0.71087,                 1.6462,                  1.106,             0.00095042,             0.00095042,             0.00095042
                     76,                0.73953,                 1.0451,                 1.1443,                 0.7367,                0.51002,                0.56398,                0.44877,                 0.7129,                 1.5599,                 1.1122,             0.00094822,             0.00094822,             0.00094822
