                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,F1 Score
109,0.64129,0.58169,1.0727,0.76074,0.68074,0.74346,0.58178,0.82011,0.85386,1.2342,0.0078814,0.0078814,0.0078814,0.7185200593834115
110,0.64845,0.58415,1.0712,0.78636,0.67522,0.74457,0.57948,0.82137,0.85466,1.2397,0.0078616,0.0078616,0.0078616,0.7265644018117379
111,0.65164,0.59926,1.0801,0.74672,0.70564,0.74538,0.57956,0.83087,0.85561,1.2589,0.0078418,0.0078418,0.0078418,0.7255990261367705
112,0.63984,0.5837,1.0723,0.7371,0.71892,0.74461,0.57687,0.8347,0.86184,1.2528,0.007822,0.007822,0.007822,0.7278965014216837
113,0.63474,0.57843,1.0697,0.77827,0.68432,0.75404,0.58415,0.82299,0.85945,1.2437,0.0078022,0.0078022,0.0078022,0.7282775438092699
114,0.64031,0.58181,1.0712,0.74643,0.69736,0.74446,0.57898,0.83153,0.85074,1.2408,0.0077824,0.0077824,0.0077824,0.7210611304968174
115,0.64486,0.58569,1.0733,0.75693,0.68994,0.75336,0.58193,0.83759,0.84694,1.2569,0.0077626,0.0077626,0.0077626,0.7218841833751477
116,0.63431,0.57988,1.0734,0.75233,0.68296,0.73671,0.57242,0.8418,0.86883,1.2621,0.0077428,0.0077428,0.0077428,0.7159686151230762
117,0.63287,0.56776,1.0659,0.77519,0.68036,0.74767,0.57486,0.82837,0.85193,1.2457,0.007723,0.007723,0.007723,0.7246858828621483
118,0.63256,0.56333,1.0659,0.76622,0.66978,0.74093,0.57585,0.827,0.85728,1.2484,0.0077032,0.0077032,0.0077032,0.7147616038997215
119,0.62566,0.55514,1.0626,0.76493,0.69512,0.74429,0.57573,0.8277,0.85859,1.2412,0.0076834,0.0076834,0.0076834,0.7283560721893086
120,0.63309,0.55155,1.064,0.75964,0.69336,0.74179,0.57415,0.8315,0.87531,1.2459,0.0076636,0.0076636,0.0076636,0.7249882868547832
121,0.62614,0.56606,1.0667,0.75833,0.67714,0.73613,0.57064,0.83227,0.86999,1.2502,0.0076438,0.0076438,0.0076438,0.7154389519808843
122,0.62486,0.5672,1.0602,0.74107,0.69595,0.73241,0.56731,0.83154,0.87273,1.2466,0.007624,0.007624,0.007624,0.7178016541175487
123,0.62694,0.55087,1.0648,0.73223,0.69437,0.73187,0.56693,0.82485,0.86717,1.246,0.0076042,0.0076042,0.0076042,0.7127976238609282
124,0.6197,0.55828,1.0564,0.72478,0.72032,0.73663,0.57529,0.82526,0.87085,1.2426,0.0075844,0.0075844,0.0075844,0.7225431175697183
125,0.63078,0.57447,1.068,0.75919,0.68283,0.74058,0.57607,0.82996,0.87058,1.2465,0.0075646,0.0075646,0.0075646,0.7189882355307139
126,0.63242,0.55956,1.0627,0.74754,0.68371,0.73264,0.57418,0.82701,0.87293,1.2369,0.0075448,0.0075448,0.0075448,0.7142016746200874
127,0.62426,0.55856,1.0591,0.76563,0.68527,0.73225,0.57039,0.8288,0.85285,1.2416,0.007525,0.007525,0.007525,0.7232245779860776
128,0.62105,0.55792,1.0598,0.74049,0.66843,0.73034,0.56593,0.81843,0.8708,1.2333,0.0075052,0.0075052,0.0075052,0.7026172255344518
129,0.62576,0.55214,1.0615,0.72369,0.69194,0.72343,0.56515,0.83533,0.88303,1.2503,0.0074854,0.0074854,0.0074854,0.7074589526924407
130,0.61129,0.54158,1.0529,0.77041,0.6767,0.74377,0.57823,0.83418,0.84905,1.2495,0.0074656,0.0074656,0.0074656,0.7205208270276622
131,0.60344,0.55193,1.049,0.73444,0.69481,0.72984,0.56827,0.83253,0.87215,1.2538,0.0074458,0.0074458,0.0074458,0.7140755730627951
132,0.6122,0.54059,1.052,0.74761,0.69512,0.74152,0.57886,0.82445,0.85143,1.2442,0.007426,0.007426,0.007426,0.7204101435473027
133,0.60196,0.53249,1.0456,0.72823,0.70162,0.73228,0.57135,0.82058,0.86618,1.2425,0.0074062,0.0074062,0.0074062,0.714677389376508
134,0.62613,0.55123,1.0621,0.78263,0.67983,0.73957,0.5785,0.82368,0.86074,1.2465,0.0073864,0.0073864,0.0073864,0.7276169644297964
135,0.60834,0.52606,1.0521,0.74872,0.70191,0.73472,0.57033,0.81171,0.86242,1.2437,0.0073666,0.0073666,0.0073666,0.7245597501775092
136,0.61049,0.53391,1.0565,0.78022,0.6882,0.72795,0.56807,0.82504,0.85878,1.2587,0.0073468,0.0073468,0.0073468,0.7313267375818908
137,0.60379,0.52704,1.0459,0.74138,0.69004,0.73698,0.57485,0.82971,0.87381,1.2578,0.007327,0.007327,0.007327,0.7147893074010423
138,0.61361,0.52889,1.0506,0.77366,0.69564,0.73901,0.57407,0.83181,0.85711,1.2528,0.0073072,0.0073072,0.0073072,0.7325785644864903
139,0.60989,0.53396,1.0543,0.80217,0.66942,0.7426,0.5758,0.83396,0.85099,1.2552,0.0072874,0.0072874,0.0072874,0.7298074074980124
140,0.60023,0.53084,1.0452,0.75704,0.68832,0.74099,0.58234,0.82081,0.85225,1.2519,0.0072676,0.0072676,0.0072676,0.7210463452703825
141,0.60213,0.53798,1.0512,0.72746,0.69527,0.72786,0.57589,0.82607,0.86169,1.2582,0.0072478,0.0072478,0.0072478,0.711000842324264
142,0.59923,0.51708,1.0438,0.76978,0.66529,0.73077,0.57174,0.82623,0.85975,1.2564,0.007228,0.007228,0.007228,0.7137309485948421
143,0.60373,0.52803,1.0418,0.72672,0.68539,0.72746,0.56799,0.83431,0.88636,1.2608,0.0072082,0.0072082,0.0072082,0.7054501714455672
144,0.60677,0.53116,1.0507,0.72584,0.691,0.72895,0.56912,0.83648,0.88403,1.2637,0.0071884,0.0071884,0.0071884,0.7079916433753987
145,0.60312,0.52416,1.0483,0.75292,0.68618,0.73453,0.56993,0.83271,0.86412,1.2672,0.0071686,0.0071686,0.0071686,0.7180024259606699
146,0.60004,0.52303,1.0513,0.75761,0.66056,0.73043,0.56913,0.81772,0.87628,1.2534,0.0071488,0.0071488,0.0071488,0.7057642759330688
147,0.60042,0.51085,1.0496,0.72417,0.69385,0.72774,0.57183,0.82495,0.88171,1.2612,0.007129,0.007129,0.007129,0.7086858499880114
148,0.60438,0.52343,1.0485,0.74298,0.68261,0.73206,0.57071,0.82345,0.86155,1.2598,0.0071092,0.0071092,0.0071092,0.7115167443654907
149,0.5793,0.50682,1.0378,0.75862,0.65305,0.73234,0.57176,0.81872,0.87716,1.2586,0.0070894,0.0070894,0.0070894,0.7018875388723993
150,0.58983,0.51233,1.0417,0.70385,0.70735,0.72715,0.56764,0.82214,0.88175,1.266,0.0070696,0.0070696,0.0070696,0.7055956597222223
151,0.59586,0.51811,1.0423,0.68735,0.73022,0.72552,0.56861,0.82338,0.87351,1.2603,0.0070498,0.0070498,0.0070498,0.7081367650274766
152,0.58849,0.51048,1.0402,0.72526,0.70924,0.73364,0.57605,0.82166,0.86512,1.2559,0.00703,0.00703,0.00703,0.7171605470895783
153,0.59193,0.51099,1.0424,0.73331,0.71164,0.73427,0.57307,0.82976,0.85713,1.2606,0.0070102,0.0070102,0.0070102,0.7223125068687499
154,0.58794,0.51012,1.0401,0.74436,0.69028,0.73289,0.57426,0.82468,0.86394,1.2555,0.0069904,0.0069904,0.0069904,0.7163007037305527
155,0.57261,0.48936,1.0276,0.7114,0.70828,0.72822,0.57325,0.82908,0.86866,1.2663,0.0069706,0.0069706,0.0069706,0.7098365716217739
156,0.57728,0.49315,1.0371,0.71584,0.7108,0.73252,0.57485,0.83064,0.85275,1.2626,0.0069508,0.0069508,0.0069508,0.7133110974036898
157,0.58219,0.49444,1.0348,0.72502,0.71099,0.72827,0.57185,0.83389,0.85412,1.2671,0.006931,0.006931,0.006931,0.717936462559453
158,0.58487,0.50359,1.0411,0.7438,0.70641,0.73069,0.57335,0.83568,0.85412,1.2674,0.0069112,0.0069112,0.0069112,0.7246229966694478
159,0.58818,0.51442,1.0427,0.7197,0.72832,0.73615,0.57172,0.83877,0.83994,1.2701,0.0068914,0.0068914,0.0068914,0.7239843427576967
160,0.57173,0.49026,1.0309,0.71745,0.72547,0.73825,0.57287,0.83645,0.83889,1.268,0.0068716,0.0068716,0.0068716,0.7214377117234497
161,0.58059,0.50894,1.0321,0.71634,0.72025,0.72924,0.56813,0.83414,0.84542,1.2622,0.0068518,0.0068518,0.0068518,0.7182896790315957
162,0.56527,0.49787,1.0217,0.74833,0.69461,0.73088,0.57141,0.83194,0.8449,1.2618,0.006832,0.006832,0.006832,0.7204700144150138
163,0.57136,0.49096,1.0296,0.76862,0.67315,0.72709,0.56696,0.83129,0.84498,1.2656,0.0068122,0.0068122,0.0068122,0.7177241210456591
